,year,home_team,home_goals,home_Possession %,home_Total Shots,home_On Target,home_Off Target,home_Blocked,home_Passing %,home_Clear-Cut Chances,home_Corners,home_Offsides,home_Tackles %,home_Aerial Duels %,home_Saves,home_Fouls Committed,home_Fouls Won,home_Yellow Cards,home_Red Cards,away_team,away_goals,away_Possession %,away_Total Shots,away_On Target,away_Off Target,away_Blocked,away_Passing %,away_Clear-Cut Chances,away_Corners,away_Offsides,away_Tackles %,away_Aerial Duels %,away_Saves,away_Fouls Committed,away_Fouls Won,away_Yellow Cards,away_Red Cards,home_form_1,home_form_2,home_form_3,home_form_4,home_form_5,home_form_6,away_form_1,away_form_2,away_form_3,away_form_4,away_form_5,away_form_6,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11
0,2014-15,Bay Munich,2,74.2,20,7,9,4,87.6,1,5,1,83.3,48.8,5,11,10,0,0,Mainz,0,25.8,7,5,2,0,65.6,0,3,2,85.7,51.2,5,11,11,0,0,6 - 2,2 - 1,2 - 1,5 - 0,4 - 0,4 - 1,1 - 3,2 - 3,0 - 1,0 - 4,1 - 4,1 - 3,M Neuer,Rafinha ,J Boateng,Dante ,J Bernat,P Lahm,X Alonso,B Schweinsteiger,T Müller,R Lewandowski,M Götze,L Karius,S Bell,N Bungert,N Noveski,P Bengtsson,D Brosinski,J Geis,J Baumgartlinger,Jairo ,P De Blasis,Y Malli
1,2014-15,B Dortmund,3,66.3,23,8,9,6,79.8,5,9,0,69.6,63.6,3,10,3,0,0,W Bremen,2,33.7,8,5,3,0,65.8,2,1,3,92.3,36.4,5,3,10,0,0,3 - 0,2 - 0,2 - 0,3 - 0,1 - 3,1 - 0,1 - 1,1 - 1,1 - 1,1 - 0,3 - 1,1 - 4,R Weidenfeller,E Durm,N Subotic,M Hummels,M Schmelzer,I Gündogan,S Kehl,H Mkhitaryan,S Kagawa,M Reus,P Aubameyang,K Casteels,T Gebre Selassie,A Lukimya,J Vestergaard,J Sternberg,F Kroos,M Busch,F Bartels,Z Junuzovic,L Öztunali,F Di Santo
2,2014-15,Cologne,2,36.1,12,3,7,2,76.9,1,4,1,83.3,42.5,3,14,8,0,0,Wolfsburg,2,63.9,15,5,8,2,87.8,2,8,2,92.3,57.5,2,11,14,0,0,1 - 2,1 - 1,1 - 1,1 - 3,0 - 1,2 - 3,1 - 1,2 - 1,1 - 1,0 - 0,1 - 2,1 - 1,T Horn,M Brecko,D Maroh,K Wimmer,D Svento,M Risse,M Lehmann,Y Gerhardt,K Nagasawa,Y Osako,A Ujah,M Grün,Vieirinha ,R Knoche,T Klose,M Schäfer,M Arnold,Luiz Gustavo ,I Perisic,K De Bruyne,D Caligiuri,B Dost
3,2014-15,Frankfurt,2,41.6,8,3,3,2,66.8,1,3,4,77.3,52,6,20,13,2,0,Leverkusen,1,58.4,18,7,7,4,79.8,0,8,3,87.5,48,2,14,20,0,0,1 - 1,0 - 5,1 - 1,2 - 1,3 - 1,1 - 1,4 - 2,0 - 1,3 - 1,6 - 2,1 - 0,1 - 1,K Trapp,T Chandler,C Zambrano,A Madlung,B Oczipka,M Russ,M Hasebe,S Aigner,M Stendera,L Waldschmidt,H Seferovic,B Leno,S Boenisch,T Jedvaj,L Bender,B Wendell,S Reinartz,H Calhanoglu,J Brandt,K Bellarabi,H Son,S Kießling
4,2014-15,Hamburg,2,53.9,10,4,4,2,74.5,2,3,5,75,62.3,3,15,18,1,0,Schalke,0,46.1,12,4,5,3,70.8,0,6,2,78.9,37.7,2,18,14,2,0,2 - 2,3 - 1,3 - 0,1 - 0,4 - 3,2 - 1,4 - 1,1 - 1,0 - 3,1 - 1,0 - 4,1 - 3,R Adler,H Westermann,J Djourou,S Rajkovic,M Ostrzolek,I Olic,G Kacar,M Díaz,I Ilicevic,L Holtby,P Lasogga,R Fährmann,M Friedrich,J Matip,M Nastasic,S Kolasinac,R Neustädter,J Farfán,M Höger,M Meyer,L Sané,K Huntelaar
5,2014-15,Hannover,2,42.7,11,6,4,1,67.2,0,3,0,70,63.2,3,17,15,3,0,Freiburg,1,57.3,10,4,2,4,75.4,1,5,3,73.7,36.8,5,15,17,2,0,1 - 4,3 - 0,0 - 1,4 - 1,1 - 2,2 - 0,2 - 4,1 - 1,1 - 1,0 - 4,1 - 1,3 - 2,R Zieler,M Schmiedebach,Marcelo ,C Schulz,M Albornoz,L Andreasen,S Sané,L Stindl,H Kiyotake,E Prib,J Briand,R Bürki,M Mujdza,P Krmas,S Mitrovic,C Günter,N Höfler,J Schmid,K Guédé,V Darida,F Klaus,A Mehmedi
6,2014-15,Hoffenheim,2,71.1,16,5,4,7,89.3,0,1,2,76.9,61.1,2,14,18,2,0,Hertha,1,28.9,4,1,3,0,65.6,1,2,3,83.3,38.9,3,18,14,2,0,1 - 3,4 - 1,1 - 1,2 - 0,0 - 1,1 - 2,1 - 1,1 - 2,0 - 2,3 - 4,1 - 3,4 - 1,O Baumann,A Beck,T Strobl,D Abraham,J Toljan,P Schwegler,S Rudy,E Polanski,R Firmino,K Volland,A Modeste,T Kraft,P Pekarík,S Langkamp,J Heitinga,M Plattenhardt,F Lustenberger,P Skjelbred,G Haraguchi,V Stocker,N Schulz,S Kalou
7,2014-15,M'gladbach,1,42.5,10,3,3,4,80.2,1,1,2,78.9,47.9,1,13,17,4,1,FC Augsburg,3,57.5,15,4,8,3,85.9,0,6,2,73.3,52.1,2,17,12,2,0,6 - 0,1 - 0,2 - 2,3 - 2,2 - 2,1 - 1,3 - 1,1 - 3,0 - 2,0 - 0,2 - 0,3 - 1,Y Sommer,J Korb,R Brouwers,H Nordtveit,O Wendt,P Herrmann,C Kramer,G Xhaka,T Hazard,M Kruse,Raffael ,M Hitz,M Feulner,J Hong,R Klavan,B Rahman,D Kohr,D Baier,A Esswein,P Højbjerg,T Werner,H Altintop
8,2014-15,Paderborn,1,52.4,15,5,6,4,69.9,0,2,2,81,56.5,1,12,18,2,0,Stuttgart,2,47.6,18,3,8,7,68.5,3,8,1,86.4,43.5,4,18,12,2,0,3 - 1,1 - 1,1 - 0,0 - 0,3 - 4,0 - 1,1 - 1,1 - 1,2 - 0,1 - 1,4 - 1,2 - 3,L Kruse,M Heinloth,C Strohdiek,U Hünemeier,F Hartherz,M Vucinovic,M Vrancic,M Bakalorz,M Stoppelkamp,E Kachunga,S Lakic,S Ulreich,D Schwaab,T Baumgartl,A Rüdiger,F Klein,S Dié,C Gentner,M Harnik,D Didavi,F Kostic,D Ginczek
9,2014-15,Leverkusen,2,56.3,13,4,8,1,67.4,1,4,7,79.2,58.9,4,20,14,2,0,Hoffenheim,0,43.7,16,5,8,3,57.8,0,9,3,70.8,41.1,2,15,19,0,0,4 - 2,0 - 1,3 - 1,6 - 2,1 - 0,1 - 1,1 - 3,4 - 1,1 - 1,2 - 0,0 - 1,1 - 2,B Leno,R Hilbert,T Jedvaj,Ö Toprak,B Wendell,S Reinartz,S Rolfes,K Bellarabi,H Calhanoglu,H Son,S Kießling,O Baumann,A Beck,T Strobl,D Abraham,J Kim,S Rudy,P Schwegler,E Polanski,T Elyounoussi,K Volland,A Modeste
