,year,date,venue,attendance,home_team,home_goals,home_Possession %,home_Total Shots,home_On Target,home_Off Target,home_Blocked,home_Passing %,home_Clear-Cut Chances,home_Corners,home_Offsides,home_Tackles %,home_Aerial Duels %,home_Saves,home_Fouls Committed,home_Fouls Won,home_Yellow Cards,home_Red Cards,away_team,away_goals,away_Possession %,away_Total Shots,away_On Target,away_Off Target,away_Blocked,away_Passing %,away_Clear-Cut Chances,away_Corners,away_Offsides,away_Tackles %,away_Aerial Duels %,away_Saves,away_Fouls Committed,away_Fouls Won,away_Yellow Cards,away_Red Cards,home_form_1,home_form_2,home_form_3,home_form_4,home_form_5,home_form_6,away_form_1,away_form_2,away_form_3,away_form_4,away_form_5,away_form_6,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11
0,2012-13,"4:00pm, Sunday 19th May 2013.",Stamford Bridge,"41,794.",Chelsea,2,43.5,23,6,10,7,84.2,0,7,1,82.6,40,6,8,9,2,0,Everton,1,56.5,20,7,8,5,88.4,3,4,1,95.5,60,4,9,7,1,0,3 - 0,3 - 0,4 - 0,0 - 0,0 - 0,3 - 3,1 - 2,0 - 2,2 - 2,4 - 2,4 - 1,2 - 1,P Cech,B Ivanovic,G Cahill,D Luiz,A Cole,F Lampard,N Aké,F Torres,J Mata,Oscar ,D Ba,T Howard,S Coleman,P Jagielka,S Distin,L Baines,K Mirallas,D Gibson,M Fellaini,S Pienaar,S Naismith,V Anichebe
1,2012-13,"4:00pm, Sunday 19th May 2013.",Anfield,"44,792.",Liverpool,1,66.4,15,8,7,0,88.3,0,14,2,0,0,0,7,3,1,0,QPR,0,33.6,7,0,7,0,77.2,0,0,1,0,0,0,4,6,3,0,5 - 0,2 - 1,2 - 0,2 - 1,1 - 0,2 - 2,1 - 0,3 - 2,0 - 3,0 - 0,0 - 2,0 - 0,P Reina,G Johnson,J Carragher,M Skrtel,Jose Enrique ,S Downing,L Leiva,J Henderson,J Ibe,P Coutinho,D Sturridge,R Green,M Harriman,N Onuoha,C Hill,A Traore,J Park,S Derry,S Mbia,L Remy,B Zamora,A Townsend
2,2012-13,"4:00pm, Sunday 19th May 2013.",Etihad Stadium,"47,054.",Man City,2,60.3,9,3,6,0,87.3,0,7,2,0,0,0,11,8,1,0,Norwich,3,39.7,14,7,7,0,81.1,0,7,2,0,0,0,9,10,0,0,3 - 0,1 - 0,3 - 0,1 - 1,3 - 1,1 - 0,0 - 0,3 - 1,1 - 1,2 - 1,1 - 0,2 - 1,J Hart,P Zabaleta,M Richards,J Lescott,A Kolarov,Y Touré,J Rodwell,J Milner,S Nasri,C Tévez,E Dzeko,J Ruddy,S Whittaker,R Martin,R Bennett,J Garrido,R Snodgrass,B Johnson,J Howson,A Pilkington,W Hoolahan,G Holt
3,2012-13,"4:00pm, Sunday 19th May 2013.","St James' Park, Newcastle","52,354.",Newcastle,0,50.7,5,1,4,0,84.8,0,4,2,0,0,0,18,10,1,0,Arsenal,1,49.3,8,2,6,0,79.7,0,4,2,0,0,0,10,17,2,0,2 - 1,1 - 1,1 - 4,3 - 1,1 - 1,1 - 1,4 - 1,1 - 0,3 - 0,0 - 1,2 - 1,0 - 1,S Harper,M Debuchy,S Taylor,F Coloccini,M Yanga-Mbiwa,H Ben Arfa,Y Cabaye,C Tiote,J Gutiérrez,Y Gouffran,P Cisse,W Szczesny,B Sagna,P Mertesacker,L Koscielny,K Gibbs,A Ramsey,M Arteta,T Walcott,T Rosicky,S Cazorla,L Podolski
4,2012-13,"4:00pm, Sunday 19th May 2013.",St. Mary's Stadium,"31,539.",So'ton,1,63,11,7,4,0,83.5,0,3,3,0,0,0,10,7,0,0,Stoke,1,37,8,3,5,0,72.3,0,4,2,0,0,0,7,9,2,0,4 - 3,2 - 0,3 - 3,2 - 0,1 - 0,2 - 5,2 - 3,1 - 0,0 - 2,3 - 2,2 - 2,2 - 0,K Davis,N Clyne,J Fonte,J Hooiveld,L Shaw,S Davis,M Schneiderlin,J Cork,A Lallana,J Rodriguez,R Lambert,A Begovic,R Shotton,R Shawcross,R Huth,M Wilson,G Cameron,D Whitehead,S N'Zonzi,M Etherington,P Crouch,J Walters
5,2012-13,"4:00pm, Sunday 19th May 2013.",The Liberty Stadium,"20,365.",Swansea ,0,64.4,20,10,10,0,92,0,8,5,0,0,0,12,10,3,0,Fulham,3,35.6,8,5,3,0,81.2,0,0,1,0,0,0,10,12,1,0,1 - 1,2 - 0,2 - 0,1 - 1,1 - 1,1 - 2,2 - 0,1 - 2,1 - 1,0 - 1,0 - 3,0 - 3,M Vorm,A Rangel,Chico ,A Williams,B Davies,P Hernández,L Britton,W Routledge,J de Guzmán,N Dyer,Michu ,M Schwarzer,S Riether,P Senderos,B Hangeland,J Riise,D Duff,E Frimpong,A Kacaniklic,E Enoh,D Berbatov,B Ruiz
6,2012-13,"4:00pm, Sunday 19th May 2013.",White Hart Lane,"36,763.",Tottenham,1,68.2,21,14,7,0,81.8,0,14,4,0,0,0,7,13,1,0,S'land,0,31.8,6,3,3,0,69.4,0,1,2,0,0,0,14,5,2,1,2 - 1,0 - 1,1 - 0,3 - 0,3 - 3,6 - 1,2 - 1,2 - 0,2 - 2,1 - 3,1 - 0,2 - 0,H Lloris,K Walker,J Vertonghen,M Dawson,B Assou-Ekotto,A Lennon,S Parker,T Huddlestone,C Dempsey,G Bale,E Adebayor,S Mignolet,J Colback,J O'Shea,C Cuellar,J McClean,S Larsson,D Vaughan,A N'Diaye,A Johnson,C Wickham,D Graham
7,2012-13,"4:00pm, Sunday 19th May 2013.",The Hawthorns,"26,438.",W Brom,5,35.4,19,6,7,6,79.1,7,3,4,84.2,63.2,2,12,7,0,0,Man Utd,5,64.6,15,6,4,5,87.5,5,5,2,80,36.8,1,8,12,1,0,0 - 2,1 - 1,0 - 0,0 - 2,3 - 3,2 - 2,1 - 2,0 - 1,5 - 0,0 - 0,2 - 1,4 - 1,B Foster,B Jones,G McAuley,J Olsson,L Ridgewell,C Yacob,Y Mulumbu,G Dorrans,J Morrison,C Brunt,S Long,A Lindegaard,A Valencia,J Evans,P Jones,A Büttner,Anderson ,M Carrick,T Cleverley,S Kagawa,R van Persie,J Hernández
8,2012-13,"4:00pm, Sunday 19th May 2013.",Boleyn Ground,"34,973.",West Ham,4,48.4,19,10,9,0,77.6,0,6,5,0,0,0,13,9,2,0,Reading,2,51.6,15,6,9,0,77.5,0,4,1,0,0,0,10,13,1,0,1 - 2,1 - 1,3 - 3,3 - 0,1 - 4,4 - 0,0 - 3,2 - 3,4 - 2,3 - 0,1 - 0,0 - 0,J Jaaskelainen,G Demel,J Collins,W Reid,J O'Brien,M Diamé,M Noble,K Nolan,R Vaz Te,A Carroll,J Cole,A McCarthy,C Gunter,S Morrison,K Gorkss,S Kelly,G McCleary,J Karacan,D Guthrie,J McAnuff,P Pogrebnyak,H Robson-Kanu
9,2012-13,"7:45pm, Tuesday 14th May 2013.",Emirates Stadium,"60,068.",Arsenal,4,47.5,17,10,7,0,80.3,0,7,2,0,0,0,12,11,0,0,Wigan ,1,52.5,7,2,5,0,84.2,0,4,5,0,0,0,11,10,2,0,1 - 0,3 - 0,0 - 1,2 - 1,0 - 1,2 - 1,0 - 1,2 - 3,0 - 2,1 - 1,0 - 1,0 - 1,W Szczesny,B Sagna,P Mertesacker,L Koscielny,K Gibbs,A Ramsey,M Arteta,T Rosicky,T Walcott,S Cazorla,L Podolski,Joel ,E Boyce,P Scharner,A Alcaraz,R Espinoza,C McManaman,S Maloney,J McCarthy,J McArthur,A Kone,J Gomez
