,0
R Gikiewicz,75
C Trimmel,72
M Friedrich,73
F Hübner,74
K Schlotterbeck,67
N Subotic,77
M Parensen,68
K Reichel,72
F Kroos,70
G Prömel,71
C Gentner,73
R Andrich,70
M Bülter,69
M Ingvartsen,70
J Ryerson,66
C Lenz,68
A Ujah,73
Y Malli,71
J Mees,69
S Andersson,73
S Polter,73
M Nicolas,64
L Hrádecky,83
L Bender,80
A Dragovic,77
M Weiser,77
J Tah,83
E Tapsoba,83
S Bender,80
D Sinkgraven,72
B Wendell,77
N Amiri,78
K Bellarabi,82
J Baumgartlinger,78
C Aránguiz,83
E Palacios,79
K Demirbay,82
M Diaby,74
F Wirtz,77
L Bailey,82
K Havertz,84
P Sampaio Filho,75
L Alario,79
K Volland,82
P Retsos,75
R Bürki,85
L Piszczek,81
M Akanji,83
M Hummels,87
E Can,65
L Balerdi,64
D Zagadou,79
M Morey,76
A Hakimi,79
J Brandt,84
A Witsel,85
T Delaney,82
J Weigl,80
M Dahoud,78
R Guerreiro,81
G Reyna,64
J Sancho,84
T Hazard,82
E Haaland,82
M Reus,88
N Schulz,82
M Götze,82
K Trapp,83
F Wiedwald,72
F Ronnow,74
D Abraham,78
S Ilsanker,74
A Touré,74
E Durm,74
M Hinteregger,80
M Hasebe,80
O Ndicka,76
D da Costa,79
T Chandler,75
D Kohr,76
D Kamada,73
G Fernandes,77
S Rode,78
L Torró,74
D Sow,74
F Kostic,82
B Dost,82
A Valente Silva,80
M Gacinovic,73
G Paciência,76
S Falette,74
T Koubek,77
A Luthe,72
T Jedvaj,70
S Lichtsteiner,70
D Framberger,67
J Gouweleeuw,78
F Uduokhai,74
M Suchy,77
P Max,77
I Borduchi,77
R Khedira,76
C Gruezo,72
M Richter,73
D Baier,77
E Löwen,74
A Hahn,74
R Vargas,70
N Sarenren-Bazee,70
F Jensen,71
F Niederlechner,74
A Finnbogason,78
S Córdova,70
Y Sommer,78
S Lainer,77
M Ginter,81
F Johnson,76
T Jantschke,76
D Zakaria,78
N Elvedi,78
R Bensebaini,77
O Wendt,76
C Kramer,80
J Hofmann,78
T Strobl,77
F Neuhaus,78
P Herrmann,77
L Bénes,70
L Stindl,80
B Embolo,76
A Pléa,81
I Traoré,77
M Thuram,75
,0
M Flekken,72
A Schwolow,78
J Schmid,75
L Kübler,71
M Gulde,75
J Haberer,75
P Lienhart,69
R Koch,73
D Heintz,76
C Günter,75
Y Keitel,72
R Sallai,72
N Höfler,72
A Abrashi,71
M Frantz,72
C Kwon,75
V Grifo,73
L Höler,72
N Petersen,78
L Waldschmidt,76
N Schlotterbeck,64
J Pavlenka,84
M Veljkovic,75
T Gebre Selassie,76
Ö Toprak,79
M Lang,80
K Vogt,80
N Moisander,79
M Friedl,70
L Bittencourt,58
N Sahin,79
L Augustinsson,76
M Eggestein,80
P Bargfrede,75
D Klaassen,80
C Groß,67
Y Osako,76
N Füllkrug,77
D Selke,78
J Sargent,67
M Rashica,79
F Bartels,75
S Kapino,73
S Langkamp,75
N Woltemade,61
B Goller,61
K Casteels,83
K Mbabu,77
R Steffen,76
W de Asevedo Furtado,81
R Knoche,77
M Pongracic,71
M Tisserand,74
J Bruma,74
J Brooks,79
J Roussillon,82
P Rosa Silva,73
A Mehmedi,78
X Schlager,76
J Guilavogui,80
Y Gerhardt,77
J Santos Sa,74
M Arnold,79
J Brekalo,76
D Ginczek,78
W Weghorst,81
F Klaus,76
S Ulreich,79
M Neuer,88
B Pavard,79
J Kimmich,86
J Boateng,84
D Alaba,85
Javi Martínez ,84
L Hernandez,84
A Davies,72
Á Odriozola,84
C Tolisso,83
T Müller,86
Thiago ,87
L Goretzka,84
S Gnabry,84
M Cuisance,72
K Coman,84
P Coutinho,86
S Singh,75
I Perisic,84
R Lewandowski,89
J Zirkzee,67
T Horn,81
T Leistner,71
K Ehizibue,71
B Schmitz,71
S Bornauw,70
R Czichos,74
N Katterbach,63
I Jakobs,62
E Skhiri,78
D Drexler,75
E Rexhbecaj,75
J Hector,79
J Thielmann,69
B Verstraete,74
F Kainz,75
M Höger,76
M Uth,74
A Modeste,79
J Córdoba,76
S Terodde,76
J Mere,79
L Sobiech,73
F Kastenmeier,56
Z Steffen,76
K Ayhan,77
M Zimmermann,72
A Hoffmann,72
M Jorgensen,72
N Gießelmann,73
M Suttner,72
K Adams Nuhu,74
K Stöger,77
R Bormuth,70
V Berisha,71
E Thommy,72
A Morales,72
A Bodzek,70
M Sobottka,73
O Fink,73
S Skrzybski,72
D Kownacki,73
K Karaman,73
R Hennings,74
O Ampomah,72
J Zimmer,71
A Barkok,70
L Baker,71
B Tekpetey,72
R Jarstein,83
T Kraft,75
P Pekarík,74
L Klünter,70
N Stark,79
D Boyata,76
J Torunarigha,72
K Rekik,78
M Plattenhardt,77
M Mittelstädt,73
S Ascacibar,62
M Wolf,77
M Grujic,77
P Skjelbred,76
D Lukebakio,75
A Maier,76
V Darida,76
J Dilrosun,72
M Santos Carneiro Da Cunha,77
K Piatek,77
P Köpke,71
V Ibisevic,77
D Smarsch,62
A Esswein,70
O Duda,77
O Baumann,82
P Pentke,71
E Bicakcic,77
S Posch,72
P Kaderábek,80
S Rudy,78
F Grillitsch,79
K Akpoguma,75
H Nordtveit,75
B Hübner,78
S Zuber,76
K Stafylidis,75
R Skov,75
D Samassekou,79
D Geiger,70
A Kramaric,83
I Bebou,77
C Baumgartner,63
S Adamyan,74
M Dabour,77
J Bruun Larsen,75
J Locadia,79
M Bogarde,63
F Müller,75
R Zentner,73
B Baku,69
P Mwene,71
J St. Juste,74
R Pierre Gabriel,70
M Niakhate,75
E Fernandes,72
A Hack,74
D Brosinski,75
A Martin Caricol,74
L Öztunali,62
D Latza,77
L Barreiro Martins,62
P Malong,75
K Onisiwo,75
T Awoniyi,71
J Boëtius,78
R Quaison,75
J Mateta,78
A Szalai,73
J Burkardt,64
D Ji,77
P Gulácsi,85
L Klostermann,79
K Laimer,77
N Mukiele,77
T Adams,76
D Upamecano,77
M Halstenberg,80
Angeliño ,63
M Sabitzer,81
K Kampl,83
C Nkunku,77
E Forsberg,82
D Demme,78
D Olmo,77
A Haidara,76
T Werner,83
P Schick,73
Y Poulsen,81
L Mvogo,79
I Konate,79
L Zingerle,71
U Hünemeier,71
L Jans,69
M Drager,70
K Gjasula,68
J Rumpf,61
C Strohdiek,69
L Kilian,66
J Collins,70
S Schonlau,72
G Holtmann,71
M Ritter,68
S Vasiliadis,72
K Pröger,69
B Zolinski,70
A Evans,69
C Antwi-Adjej,72
S Fridjónsson,64
A Sabiri,58
D Srbeny,60
S Mamba,64
S Michel,72
D Jastrzembski,69
A Nübel,75
M Schubert,70
J Kenny,73
O Kabak,74
T Becker,77
S Sané,80
J Todibo,66
B Oczipka,75
M Nastasic,80
W McKennie,76
J Miranda,60
D Caligiuri,79
A Schöpf,77
O Mascarell,78
S Serdar,75
M Mercan,60
C Bozdogan,75
R Matondo,66
A Harit,76
N Boujellab,65
G Burgstaller,77
B Raman,76
M Gregoritsch,78
A Kutucu,68
F Reese,65
