,home_team,home_Possession %,home_Total Shots,home_On Target,home_Off Target,home_Blocked,home_Passing %,home_Clear-Cut Chances,home_Corners,home_Offsides,home_Tackles %,home_Aerial Duels %,home_Saves,home_Fouls Committed,home_Fouls Won,home_Yellow Cards,home_Red Cards,away_team,away_Possession %,away_Total Shots,away_On Target,away_Off Target,away_Blocked,away_Passing %,away_Clear-Cut Chances,away_Corners,away_Offsides,away_Tackles %,away_Aerial Duels %,away_Saves,away_Fouls Committed,away_Fouls Won,away_Yellow Cards,away_Red Cards,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11,home_Possession %_moving,home_Total Shots_moving,home_On Target_moving,home_Off Target_moving,home_Blocked_moving,home_Passing %_moving,home_Clear-Cut Chances_moving,home_Corners_moving,home_Offsides_moving,home_Tackles %_moving,home_Aerial Duels %_moving,home_Saves_moving,home_Fouls Committed_moving,home_Fouls Won_moving,home_Yellow Cards_moving,home_Red Cards_moving,home_goals_moving,home_goal_difference_moving,away_Possession %_moving,away_Total Shots_moving,away_On Target_moving,away_Off Target_moving,away_Blocked_moving,away_Passing %_moving,away_Clear-Cut Chances_moving,away_Corners_moving,away_Offsides_moving,away_Tackles %_moving,away_Aerial Duels %_moving,away_Saves_moving,away_Fouls Committed_moving,away_Fouls Won_moving,away_Yellow Cards_moving,away_Red Cards_moving,away_goals_moving,away_goal_difference_moving
0,22,71.14633333333335,17.813333333333336,7.276666666666667,7.163333333333334,3.3733333333333335,88.003,1.1666666666666667,5.8966666666666665,2.4466666666666668,78.28166666666667,52.26166666666668,2.2399999999999998,11.273333333333333,13.813333333333334,0.8766666666666666,0.16000000000000003,6,52.49818181818181,11.818181818181818,4.618181818181819,4.49090909090909,2.7090909090909094,74.30000000000001,1.1818181818181819,5.927272727272728,2.4,79.3909090909091,53.68181818181818,3.381818181818182,18.527272727272727,14.709090909090909,2.4181818181818184,0.18181818181818185,90,87,84,87,85,83,86,69,84,87,87,80,77,58,77,72,76,75,75,62,72,73,71.46000000000001,19.8,8.2,8.0,3.6,87.43999999999998,1.2,8.0,3.4,78.83999999999999,58.18000000000001,1.8,7.4,14.8,0.8,0.2,3.2,2.8,61.120000000000005,15.0,5.6,6.2,3.2,78.28,1.4,7.0,1.6,78.84,54.94000000000001,3.0,18.6,15.4,2.6,0.0,1.8,-0.6
1,4,53.95454545454545,17.563636363636366,6.272727272727273,7.50909090909091,3.781818181818182,75.47454545454545,2.1454545454545455,5.654545454545455,3.2181818181818183,74.58545454545455,50.807272727272725,1.2545454545454546,14.745454545454546,10.672727272727272,1.3272727272727274,0.0,16,40.238181818181815,10.6,3.4000000000000004,4.472727272727273,2.727272727272727,71.30181818181818,0.9636363636363637,4.454545454545454,1.9090909090909092,75.8909090909091,45.95090909090909,3.781818181818182,11.854545454545455,11.127272727272729,1.4181818181818182,0.03636363636363637,80,80,82,86,77,69,81,82,82,86,78,69,75,75,73,71,75,75,75,64,75,78,52.199999999999974,20.6,8.2,8.8,3.6,74.94000000000001,2.2,6.4,4.4,77.25999999999999,50.55999999999999,1.0,14.6,11.4,0.8,0.0,2.0,1.0,38.06,10.0,3.6,3.4,3.0,69.58,0.6,2.4,1.8,73.6,45.300000000000004,3.8,9.6,11.6,1.6,0.0,1.2,-0.6
2,21,52.43212121212122,13.460606060606061,4.654545454545454,5.606060606060606,3.2,74.46969696969697,1.4363636363636365,4.175757575757576,3.0303030303030303,74.43151515151516,51.726060606060614,3.521212121212122,16.957575757575757,16.793939393939397,1.4303030303030302,0.15151515151515152,20,43.52212121212122,9.925757575757576,3.1439393939393945,4.412121212121212,2.36969696969697,67.20257575757576,0.7318181818181819,2.9484848484848483,1.8484848484848486,75.17121212121212,48.87378787878788,4.8954545454545455,18.022727272727273,12.483333333333334,2.4863636363636368,0.2515151515151515,75,75,74,67,69,72,79,71,76,71,58,56,72,76,74,73,72,76,74,67,79,76,45.380000000000024,12.6,6.0,4.4,2.2,70.17999999999999,2.0,3.2,3.2,67.75999999999999,51.499999999999986,3.2,17.0,18.8,1.8,0.0,2.0,0.2,43.12000000000002,10.4,3.4,4.4,2.6,68.32,1.2,2.6,1.8,72.22,46.279999999999994,5.6,18.0,12.2,2.4,0.2,0.4,-2.2
3,12,49.730909090909094,15.49090909090909,5.418181818181818,6.400000000000001,3.672727272727273,73.16000000000001,1.4181818181818182,5.072727272727273,2.618181818181818,82.04727272727271,50.88000000000001,3.4,16.454545454545453,18.672727272727272,2.0,0.018181818181818184,17,51.43636363636364,12.054545454545455,4.181818181818182,5.0,2.872727272727273,76.42545454545456,0.6545454545454545,4.963636363636364,2.6545454545454548,72.08000000000001,53.95272727272727,3.7272727272727275,16.145454545454548,14.345454545454546,1.7636363636363637,0.018181818181818184,70,78,77,74,73,77,77,75,72,63,80,81,83,80,75,75,79,70,78,70,78,82,47.480000000000004,15.8,6.6,5.8,3.4,67.12,1.8,5.4,1.8,81.81999999999998,51.56,4.0,16.6,22.2,1.8,0.0,2.0,0.2,44.38000000000001,9.6,5.0,2.4,2.2,75.08000000000001,0.8,5.2,4.6,68.82000000000002,51.58,3.6,15.8,13.8,1.4,0.0,1.4,0.2
4,8,49.31999999999999,14.581818181818182,4.7272727272727275,5.672727272727274,4.181818181818182,73.62909090909092,1.1818181818181819,5.163636363636363,2.327272727272727,78.42181818181817,47.82181818181819,2.4545454545454546,13.618181818181817,15.036363636363637,1.2909090909090908,0.14545454545454548,1,36.667272727272724,7.218181818181819,2.4363636363636365,3.2363636363636363,1.5454545454545456,68.10545454545455,0.8363636363636364,3.0000000000000004,2.781818181818182,77.58181818181818,49.056363636363635,3.7090909090909094,15.763636363636365,15.000000000000002,2.0727272727272728,0.16363636363636366,78,71,76,77,73,76,75,74,75,74,73,69,76,76,76,74,71,75,71,76,78,77,50.08,14.6,5.4,4.8,4.4,75.35999999999999,1.4,5.4,2.6,81.06,48.080000000000005,1.4,15.6,16.2,1.6,0.2,2.0,0.8,37.55999999999999,7.2,2.6,3.4,1.2,68.16,1.0,3.0,3.2,78.46000000000001,47.99999999999999,4.2,18.2,13.8,2.6,0.2,1.8,-0.4
5,2,42.82727272727273,13.987878787878788,5.745454545454546,5.327272727272728,2.915151515151515,65.76666666666668,1.496969696969697,4.981818181818182,2.0,76.1587878787879,50.2709090909091,2.8484848484848486,17.618181818181817,15.61818181818182,1.9636363636363638,0.03636363636363637,5,53.28181818181819,11.4,4.0181818181818185,4.381818181818182,3.0000000000000004,71.91272727272727,1.1454545454545455,4.254545454545455,3.0363636363636366,79.79272727272728,49.97272727272728,3.490909090909091,17.18181818181818,16.563636363636363,2.690909090909091,0.07272727272727274,74,76,77,68,74,73,59,71,79,59,73,66,74,65,68,69,68,67,60,68,69,65,44.579999999999984,16.0,7.0,5.2,3.8,66.44000000000001,2.2,6.2,2.2,75.02000000000001,51.42,2.4,15.6,18.4,2.0,0.0,2.6,1.6,50.960000000000015,13.0,4.8,5.2,3.0,68.06000000000003,1.4,3.2,4.2,85.9,49.1,3.4,18.2,14.8,2.6,0.2,1.4,-1.2
6,11,54.756363636363645,17.072727272727274,6.527272727272728,7.290909090909092,3.254545454545455,79.96909090909094,2.1454545454545455,5.636363636363637,2.181818181818182,79.79636363636365,54.221818181818186,3.2727272727272734,12.709090909090909,14.145454545454546,1.490909090909091,0.0,18,44.67863636363637,12.307575757575759,4.481818181818182,4.992424242424243,2.833333333333334,69.47727272727272,1.6984848484848485,5.13939393939394,1.7090909090909094,77.24409090909091,46.39575757575758,3.1848484848484855,14.663636363636364,15.821212121212124,1.8272727272727274,0.1954545454545455,73,80,85,75,75,78,78,62,77,80,81,74,58,74,68,79,71,78,72,76,77,58,51.019999999999996,16.0,6.8,6.2,3.0,78.32000000000001,1.8,5.4,1.8,84.80000000000001,50.02000000000001,3.4,13.2,13.6,1.6,0.0,2.2,1.6,45.98,11.2,4.8,4.0,2.4,71.74000000000001,1.4,4.6,1.8,74.54,51.039999999999985,3.0,14.2,14.4,1.6,0.2,1.4,0.6
7,16,43.35272727272728,12.4,3.781818181818182,5.890909090909091,2.727272727272727,71.98909090909092,1.4,5.0,2.181818181818182,76.19090909090909,46.94909090909091,3.4000000000000004,12.781818181818183,13.690909090909091,1.581818181818182,0.14545454545454548,2,43.35909090909091,11.951515151515153,4.981818181818182,4.8090909090909095,2.1606060606060606,66.61666666666667,0.987878787878788,3.4272727272727277,2.0,80.03515151515153,50.18363636363637,3.643939393939394,17.972727272727273,15.222727272727274,1.8545454545454545,0.14545454545454548,79,74,75,73,71,77,72,75,75,70,78,74,76,77,68,74,59,71,73,79,75,73,46.64,12.2,3.2,5.6,3.4,73.18000000000004,1.2,5.6,2.2,80.88,47.6,2.8,11.8,13.6,1.4,0.0,0.4,-0.2,40.46,11.0,5.0,3.4,2.6,67.14,1.0,2.0,1.4,78.56000000000003,51.81999999999999,4.6,18.6,15.0,2.4,0.4,1.2,-1.4
8,5,51.481818181818184,13.145454545454546,5.163636363636364,4.981818181818182,3.0000000000000004,72.33272727272728,1.8545454545454547,4.472727272727273,3.1454545454545455,76.68909090909091,49.37272727272728,3.6,17.454545454545457,18.254545454545454,2.581818181818182,0.018181818181818184,4,54.827272727272735,15.70909090909091,5.454545454545455,6.581818181818182,3.672727272727273,74.00727272727272,1.4909090909090912,5.709090909090909,3.3272727272727276,74.89636363636365,48.94727272727273,2.0181818181818185,13.981818181818182,12.690909090909091,1.490909090909091,0.0,66,74,68,65,69,69,60,68,65,68,68,80,76,80,86,77,81,81,82,86,82,78,54.55999999999998,13.6,5.8,4.2,3.6,74.74,3.0,4.2,3.4,76.77999999999997,45.88,3.2,17.4,16.2,2.8,0.0,2.6,1.2,56.10000000000002,16.2,6.0,7.0,3.2,69.54,0.8,6.2,2.2,72.75999999999999,51.07999999999999,1.6,13.8,12.8,1.4,0.0,0.8,-0.2
9,20,46.64303030303031,10.793939393939395,3.8484848484848486,5.1030303030303035,1.8424242424242427,68.51939393939394,0.7454545454545456,3.6121212121212123,2.2121212121212124,78.03030303030303,46.74969696969697,4.036363636363636,17.81818181818182,13.933333333333334,2.309090909090909,0.18787878787878787,11,54.870909090909095,12.927272727272728,5.109090909090909,5.436363636363637,2.381818181818182,78.6218181818182,2.3090909090909095,5.090909090909092,2.454545454545455,78.28545454545454,54.041818181818186,3.0000000000000004,13.745454545454546,14.036363636363637,1.3272727272727274,0.0,76,72,76,79,73,72,76,67,72,74,76,73,76,85,75,75,83,80,62,77,80,81,48.2,11.4,4.0,5.6,1.8,67.96000000000002,0.8,4.8,2.4,77.19999999999997,42.94,4.8,18.2,13.4,2.0,0.0,1.2,0.2,56.25999999999999,12.0,5.6,4.4,2.0,77.01999999999998,3.6,4.8,3.6,77.72,51.10000000000001,3.6,14.2,17.4,1.0,0.0,3.2,1.0
