,0
K Schmeichel,83
R Pereira,82
C Söyüncü,74
J Justin,69
R Bennett,73
J Evans,79
W Morgan,75
C Fuchs,73
B Chilwell,79
M Albrighton,76
O Ndidi,81
Y Tielemans,80
H Choudhury,74
N Mendy,75
Ayoze Pérez ,78
D Praet,76
J Maddison,79
L Thomas,65
D Gray,75
H Barnes,75
K Iheanacho,73
J Vardy,82
K Arrizabalaga,80
W Caballero,75
C Azpilicueta,84
R James,73
A Rüdiger,82
A Christensen,80
K Zouma,80
F Tomori,72
M Alonso,81
Emerson ,77
R Barkley,79
Jorginho ,83
N Kanté,89
R Loftus-Cheek,79
B Gilmour,62
M Kovacic,82
M Mount,75
C Hudson-Odoi,74
Willian ,82
Pedro ,82
O Giroud,82
M Batshuayi,79
T Abraham,76
C Pulisic,79
D De Gea,89
V Lindelöf,81
A Wan-Bissaka,79
T Fosu-Mensah,73
H Maguire,82
P Jones,79
L Shaw,81
B Williams,72
Fred ,79
A Pereira,79
S McTominay,77
P Pogba,88
N Matic,81
M Greenwood,67
J Mata,82
B Fernandes,79
D James,72
M Rashford,83
A Martial,83
E Bailly,80
A Young,77
J Lingard,82
Adrián ,76
A Ramses Becker,79
T Alexander-Arnold,83
N Williams,84
J Gomez,80
V van Dijk,90
J Milner,81
A Robertson,85
A Oxlade-Chamberlain,80
N Keita,82
J Henderson,83
G Wijnaldum,84
Fabinho ,85
A Lallana,79
C Jones,61
M Salah,90
R Firmino,86
S Mané,88
D Origi,78
D Lovren,80
J Matip,82
T Minamino,83
B Leno,84
E Martinez,75
S Papastathopoulos,79
H Bellerin,80
A Maitland-Niles,75
S Mustafi,79
R Holding,76
D Luiz,83
C Chambers,75
P Villar,88
S Kolasinac,79
K Tierney,76
B Saka,65
C Soares,60
D Ceballos,81
L Torreira,82
G Xhaka,81
M Guendouzi,75
N Pepe,83
R Nelson,72
M Özil,84
J Willock,67
P Aubameyang,88
A Lacazette,86
E Nketiah,65
G Martinelli,81
V Guaita,79
J Ward,73
M Kelly,75
S Dann,75
J Tomkins,78
C Kouyaté,76
G Cahill,77
M Sakho,79
P van Aanholt,76
J Riedewald,72
T Mitchell,77
J Ayew,75
M Meyer,78
A Townsend,78
W Zaha,83
